sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
26135,SKM/SS/78A08/2015/175,Sikkim,South Sikkim,,Namchi-Namthang Road,27.153528,88.494389,Debris,Slide,NA
26136,SKM/SS/78A08/2015/307,Sikkim,South Sikkim,,Melli-Phong Road,27.15425,88.500333,Debris,Slide,NA
26138,SKM/SS/78A08/2015/310,Sikkim,South Sikkim,,Melli-Phong Road,27.154722,88.443056,Debris,Slide,NA
26139,SKM/SS/78A08/2015/176,Sikkim,South Sikkim,,Namchi-Namthang Road,27.154889,88.493194,Debris,Slide,NA
26143,SKM/ES/78A12/2015/162,Sikkim,East Sikkim,,Namchi-Namthang Road,27.156806,88.5225,Rock,Fall,NA
26145,SKM/ES/78A2/2015/167,Sikkim,East Sikkim,,Namchi-Namthang Road,27.157056,88.512778,Debris,Slide,NA
26148,SKM/ES/78A12/2015/163,Sikkim,East Sikkim,,Namchi-Namthang Road,27.157694,88.522194,Rock,Topple,NA
26154,SKM/SS/78A08/2015/177,Sikkim,South Sikkim,,Namchi-Namthang Road,27.158111,88.491722,Debris,Slide,NA
26155,SKM/ES/78A2/2015/168,Sikkim,East Sikkim,,Namchi-Namthang Road,27.158111,88.512472,Debris,Slide,NA
26159,SKM/ES/78A12/2015/164,Sikkim,East Sikkim,,Namchi-Namthang Road,27.158361,88.521833,Debris,Slide,NA
26161,SKM/SS/78A08/2015/303,Sikkim,South Sikkim,,Namthang-Kabrey Road,27.158583,88.466306,Rock,Fall,NA
26163,SKM/ES/78A2/2015/169,Sikkim,East Sikkim,,Namchi-Namthang Road,27.158972,88.514611,Rock,Fall,NA
26165,SKM/SS/78A08/2015/309,Sikkim,South Sikkim,,Melli-Phong Road,27.159194,88.444361,Debris,Slide,NA
26173,SKM/SS/78A12/2015/170,Sikkim,South Sikkim,,Namchi-Namthang Road,27.160444,88.512472,Rock,Fall,NA
26174,SKM/SS/78A12/2015/174,Sikkim,South Sikkim,,Namchi-Namthang Road,27.160722,88.505889,Debris,Slide,NA
26176,SKM/SS/78A12/2015/171,Sikkim,South Sikkim,,Namchi-Namthang Road,27.161306,88.512944,Debris,Slide,NA
26178,SKM/SS/78A12/2015/173,Sikkim,South Sikkim,,Namchi-Namthang Road,27.161917,88.509639,Debris,Slide,NA
26179,SKM/SS/78A08/2015/181,Sikkim,South Sikkim,,Namchi-Namthang Road,27.162111,88.491444,Rock,Fall,NA
26180,SKM/SS/78A12/2015/172,Sikkim,South Sikkim,,Namchi-Namthang Road,27.162194,88.510611,Debris,Slide,NA
26183,SKM/SS/78A08/2015/179,Sikkim,South Sikkim,,Namchi-Namthang Road,27.162781,88.484864,Debris,Slide,NA
26185,SKM/SS/78A08/2015/282,Sikkim,South Sikkim,,Namchi-Namthang Road,27.163556,88.458833,Debris,Slide,NA
26187,SKM/SS/78A08/2015/281,Sikkim,South Sikkim,,Namchi-Namthang Road,27.163861,88.462306,Debris,Slide,NA
26188,SKM/ES/78A12/2015/165,Sikkim,East Sikkim,,Namchi-Namthang Road,27.163861,88.52,Debris,Slide,NA
26193,SKM/SS/78A08/2015/308,Sikkim,South Sikkim,,Melli-Phong Road,27.165,88.444444,Debris,Slide,NA
26196,SKM/SS/78A08/2015/180,Sikkim,South Sikkim,,Namchi-Namthang Road,27.165528,88.496556,Debris,Slide,NA
26197,SKM/SS/78A08/2015/178,Sikkim,South Sikkim,,Namchi-Namthang Road,27.165586,88.488511,Debris,Slide,NA
26205,SKM/SS/78A08/2015/302,Sikkim,South Sikkim,,NULL,27.169028,88.486333,Debris,Slide,NA
26207,SKM/SS/78A08/2015/280,Sikkim,South Sikkim,,Namchi-Namthang Road,27.169583,88.462361,Debris,Slide,NA
26220,SKM/SS/78A08/2015/182,Sikkim,South Sikkim,,Namchi-Namthang Road,27.174389,88.452028,Debris,Slide,NA
26228,SKM/ES/78A12/2015/101,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.178889,88.533097,Rock,Slide,NA
26230,SKM/ES/78A12/2015/141,Sikkim,East Sikkim,,NH-31A,27.179639,88.519778,Debris,Slide,NA
26231,SKM/ES/78A12/2015/143,Sikkim,East Sikkim,,NH-31A,27.180417,88.51025,Rock,Slide,NA
26232,SKM/ES/78A12/2015/142,Sikkim,East Sikkim,,NH-31A,27.180528,88.518611,Debris,Slide,NA
26236,SKM/ES/78A12/2015/144,Sikkim,East Sikkim,,NH-31A,27.182111,88.508,Rock,Slide,NA
26241,SKM/ES/78A12/2015/102,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.18815,88.562083,Debris,Slide,NA
26242,SKM/ES/78A12/2015/145,Sikkim,East Sikkim,,NH-31A,27.188528,88.501194,Rock,Slide,NA
26244,SKM/ES/78A12/2015/103,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.189261,88.595686,Debris,Slide,NA
26245,SKM/ES/78A12/2015/39,Sikkim,East Sikkim,Padamchey,Rangpo-Rorathang Road,27.19,88.564472,Rock,Fall,NA
26246,SKM/ES/78A12/2015/104,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.190067,88.596483,Rock,Slide,NA
26247,SKM/ES/78A12/2015/105,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.190833,88.596889,Debris,Slide,NA
26258,SKM/SS/78A12/2015/146,Sikkim,South Sikkim,,NH-31A,27.197417,88.4905,Rock,Slide,NA
26270,SKM/ES/78A12/2015/34,Sikkim,East Sikkim,Pendam,NULL,27.203167,88.588667,Debris,Slide,NA
26275,SKM/ES/78A12/2015/33,Sikkim,East Sikkim,East Pendam,NULL,27.205,88.591722,Rock,Fall,NA
26276,SKM/SS/78A08/2015/56,Sikkim,South Sikkim,,Phong-Bermiok Road,27.205,88.442122,Debris,Slide,NA
26278,SKM/SS/78A08/2015/54,Sikkim,South Sikkim,,Phong-Bermiok Road,27.206611,88.442814,Debris,Slide,NA
26281,SKM/SS/78A08/2015/55,Sikkim,South Sikkim,,Phong-Bermiok Road,27.207039,88.446667,Debris,Slide,NA
26285,SKM/ES/78A12/2015/35,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.2115,88.58775,Debris,Slide,NA
26286,SKM/ES/78A12/2015/36,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.212222,88.587889,Debris,Slide,NA
26292,SKM/ES/78A12/2015/37,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.214806,88.588083,Debris,Slide,NA
26320,SKM/SS/78A12/2015/147,Sikkim,South Sikkim,,NH-31A,27.223833,88.491833,Debris,Slide,NA
26324,SKM/SS/78A12/2015/148,Sikkim,South Sikkim,,NH-31A,27.22575,88.49325,Rock,Slide,NA
26328,SKM/SS/78A12/2015/149,Sikkim,South Sikkim,,Singtam-Dikchu Road,27.228556,88.493889,Debris,Slide,NA
26334,SKM/ES/78A12/2015/22,Sikkim,East Sikkim,,NH-31A,27.233389,88.5015,Debris,Slide,NA
26339,SKM/SS/78A12/2015/150,Sikkim,South Sikkim,,Singtam-Dikchu Road,27.23575,88.506472,Debris,Slide,NA
26340,SKM/SS/78A12/2015/151,Sikkim,South Sikkim,,Singtam-Dikchu Road,27.23575,88.507972,Debris,Slide,NA
26341,SKM/ES/78A12/2015/21,Sikkim,East Sikkim,,NH-31A,27.235778,88.506306,Debris,Slide,NA
26344,SKM/ES/78A12/2015/152,Sikkim,East Sikkim,,NH-31A,27.236361,88.50875,Debris,Slide,NA
26345,SKM/ES/78A12/2015/20,Sikkim,East Sikkim,,NH-31A,27.236583,88.509611,Debris,Slide,NA
26347,SKM/ES/78A12/2015/32,Sikkim,East Sikkim,,NULL,27.237694,88.598806,Debris,Slide,NA
26348,SKM/EAS/78A12/2014/002,Sikkim,East Sikkim,6 km from Martam,0.5 km before Sikkim Supreme (On NH-31A),27.23772,88.51384,Debris,Slide,26 August 2014
26352,SKM/EAS/78A08/2014/003,Sikkim,East Sikkim,Sirwani Landslide,Sirwani (On Singtam-Mangkha road ),27.23924,88.48416,Debris,Slide,"2011, 25 August 2014"
26354,SKM/ES/78A08/2015/49,Sikkim,East Sikkim,,Singtam-Dikchu Road,27.240028,88.486472,Debris,Slide,NA
26355,SKM/ES/78A08/2015/50,Sikkim,East Sikkim,,Singtam-Dikchu Road,27.240194,88.486278,Debris,Slide,NA
26357,SKM/ES/78A08/2015/52,Sikkim,East Sikkim,,NULL,27.240556,88.48025,Debris,Slide,NA
26359,SKM/ES/78A08/2015/51,Sikkim,East Sikkim,,Singtam-Dikchu Road,27.240861,88.486278,Debris,Slide,NA
26367,SKM/ES/78A12/2015/153,Sikkim,East Sikkim,,NH-31A,27.245028,88.524389,Debris,Slide,NA
26369,SKM/ES/78A12/2015/19,Sikkim,East Sikkim,Sangkhola,NH-31A,27.245139,88.524444,Debris,Slide,NA
26378,SKM/ES/78A11/2015/154,Sikkim,East Sikkim,,NH-31A,27.250556,88.53325,Debris,Slide,NA
26382,SK/ESK/78A11/2019/03,Sikkim,East Sikkim,Sang,NH10A/ GangtokSiliguri Highway,27.251639,88.531361,Rock,Slide,2019
26392,SKM/ES/78A11/2015/155,Sikkim,East Sikkim,,NH-31A,27.254778,88.542444,Debris,Slide,NA
26395,SKM/ES/78A11/2015/17,Sikkim,East Sikkim,,NH-31A,27.255278,88.543611,Debris,Slide,NA
26401,SKM/EAS/78A11/2014/001,Sikkim,East Sikkim,Mangthang Landslide,Mangthang (On Dhajey- Mangthang road ),27.25677,88.55359,Debris,Slide,"June 2014, 16 August 2014"
26408,SKM/ES/78A11/2015/156,Sikkim,East Sikkim,,NH-31A,27.257972,88.548861,Debris,Slide,NA
26416,SKM/ES/78A11/2015/18,Sikkim,East Sikkim,,NH-31A,27.259694,88.550417,Debris,Slide,NA
26427,SKM/ES/78A11/2015/158,Sikkim,East Sikkim,,NH-31A,27.262583,88.562389,Debris,Slide,NA
26430,SKM/ES/78A11/2015/157,Sikkim,East Sikkim,,NH-31A,27.264361,88.558389,Debris,Slide,NA
26434,SKM/ES/78A11/2015/40,Sikkim,East Sikkim,Martam,NULL,27.265944,88.534556,Rock,Fall,NA
26711,SKM/EAST/78A12/2015/001,Sikkim,East Sikkim,3rd Mile Subsidence,Kumrek (On Rangpo-Kumrek road ),27.18822222,88.56238889,Debris,Subsidence,July 2015
26712,SKM/EAST/78A12/2015/002,Sikkim,East Sikkim,Kumrek landslide,Kumrek (On Rangpo-Kumrek road ),27.179,88.53313889,Rock,Slide,8 July 2015
26720,Sikkim/ East District/ 78A/11/2019/,Sikkim,East Sikkim,Martam,"NH-10A, Martam",27.25941667,88.55038889,Boulders and debris,Debris slide,2017
26723,Sikkim/ East District/ 78A/11/2019/,Sikkim,East Sikkim,Tumlabung,Near Lower Tumlabung on Ranipool-Tumlabung Bye Pass road,27.27352778,88.57783333,Debris,Slide,July/August 2019
26735,SK/ES/78 A11/CP,Sikkim,East Sikkim,Chisopani I Landslide,Pendam-Singtam Road,27.23166667,88.5025,Debris,Slide,"July 2020, December 2020"
26736,SK/ES/78 A11/CL,Sikkim,East Sikkim,Chuba Landslide,Chuba link Road,27.27458333,88.55002778,Debris,Slide,18-19 October 2021
26738,SK/ES/78 A11/DD,Sikkim,East Sikkim,Deepudada Slide,Singtam-Dikchu Road,27.25858333,88.46166667,Debris,Slide,Between April 2018 and December 2021
26742,SK/ES/78 A11/SKIII,Sikkim,East Sikkim,Sang Khola III,Sang Khola,27.25333333,88.53194444,Rock,Slide,July 2020
26745,SK/ES/78 A/11/2021/15,Sikkim,East Sikkim,Mangthang,Mangthang,27.2533846,88.5489504,Debris,Flows,22 August 2021
26749,SK/ES/78 A11/SK-II,Sikkim,East Sikkim,Sangkhola II,Sangkhola-Zingla road.,27.26066667,88.53383333,Rock cum debris,Slide,"September 2021, October 2021"
26751,SK/ES/78 A11/SD,Sikkim,East Sikkim,Singtam-Dikchu,North Sikkim Highway,27.23444444,88.49083333,Rock,Slide,NA
26758,SK/ES/78 A11/TL,Sikkim,East Sikkim,Tshalumthang Landslide,Sangkhola-Zingla Road,27.25252778,88.52777778,Debris,Slide,July 2021
26761,SK/ES/78 A11/KL,Sikkim,East Sikkim,Khamdong Landslide,Singtam Dikchu Road,27.25061389,88.46280278,Debris,Slide,2021
26776,Sikkim/East Sikkim/ 78A08/ 2022,Sikkim,East Sikkim,Bardang Tunnel slide,NH10,27.20683333,88.48930556,Debris,Slide,2021
26777,SK/SSK/78A08/ 2022/MamringI,Sikkim,South Sikkim,Mamring slide,State road Namchi-Namthang road.,27.16993889,88.51481944,Debris,Slide,September 2021
26779,Sikkim/East Sikkim/ 78A12/ 2021,Sikkim,East Sikkim,Pakyong road near Central bank of India,"717A, state road",27.24777778,88.5975,Debris,Slide,2021
26782,SKM/Gangtok/78A11/2022,Sikkim,Gangtok District,14th Mile,Gangtok-Rangpo Road,27.2535,88.54141667,Debris,Slide,"August 2022, 7th-8th October 2022"
26795,SK/ES/78 A11/Sang,Sikkim,East Sikkim,Sang,Gangtok-Singtam Road.,27.25066667,88.53144444,Rock,Slide,"July 2019, 12 May 2022"
26797,SK/ES/78 A07/Sherwani 02,Sikkim,East Sikkim,Sherwani 02,Singtam-Sherwani road,27.24297222,88.47055556,Debris,Slide,15 June 2022
26799,SK/ES/78 A07/Singtam,Sikkim,East Sikkim,Singtam,Singtam-Mangkha road,27.238515,88.48812389,Debris,Slide,May 2022.
26802,SKM/Pakyong/78A12/2023,Sikkim,Pakyong,Rangpo Check Post,Gangtok-Siliguri Road,27.17748333,88.52165833,Debris,Slide,"July 2020, 4 October 2023"
26808,SI/GAN/78A07/2024/48,Sikkim,Gangtok District,Dipudara landslide,"NHPC Teesta-V, Singtam-Dikchu road",27.2525,88.4606,Rock,Slide,21 August 2024
26809,SI/GAN/78A08/2025/01,Sikkim,Gangtok District,Dochum,"Dochum, Singtam-Dickchu road",27.248882,88.476747,Debris,Slide,"2022, Jun 2024"
26828,7253,Sikkim,South Sikkim,NHPC TEESTA V POWER HOUSE,,27.25102,88.460004,Rock,slide,2024
