date_utc,start_time_utc,end_time_utc,observation_end_utc,location,latitude,longitude,rainfall_mm,source_file
2026-08-20,08:30:00,08:59:59,2026-08-20T08:59:59+00:00,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S083000-E085959.0510.V07C.30min.tif
2026-08-20,08:30:00,08:59:59,2026-08-20T08:59:59+00:00,Singtam,27.234,88.501,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S083000-E085959.0510.V07C.30min.tif
2026-08-20,09:00:00,09:29:59,2026-08-20T09:29:59+00:00,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S090000-E092959.0540.V07C.30min.tif
2026-08-20,09:00:00,09:29:59,2026-08-20T09:29:59+00:00,Singtam,27.234,88.501,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S090000-E092959.0540.V07C.30min.tif
2026-08-20,09:30:00,09:59:59,2026-08-20T09:59:59+00:00,Rangpo,27.177,88.533,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S093000-E095959.0570.V07C.30min.tif
2026-08-20,09:30:00,09:59:59,2026-08-20T09:59:59+00:00,Singtam,27.234,88.501,0.2,3B-HHR-E.MS.MRG.3IMERG.20260820-S093000-E095959.0570.V07C.30min.tif
2026-08-20,10:00:00,10:29:59,2026-08-20T10:29:59+00:00,Rangpo,27.177,88.533,0.8,3B-HHR-E.MS.MRG.3IMERG.20260820-S100000-E102959.0600.V07C.30min.tif
2026-08-20,10:00:00,10:29:59,2026-08-20T10:29:59+00:00,Singtam,27.234,88.501,0.8,3B-HHR-E.MS.MRG.3IMERG.20260820-S100000-E102959.0600.V07C.30min.tif
2026-08-20,10:30:00,10:59:59,2026-08-20T10:59:59+00:00,Rangpo,27.177,88.533,0.8,3B-HHR-E.MS.MRG.3IMERG.20260820-S103000-E105959.0630.V07C.30min.tif
2026-08-20,10:30:00,10:59:59,2026-08-20T10:59:59+00:00,Singtam,27.234,88.501,0.8,3B-HHR-E.MS.MRG.3IMERG.20260820-S103000-E105959.0630.V07C.30min.tif
2026-08-20,11:00:00,11:29:59,2026-08-20T11:29:59+00:00,Rangpo,27.177,88.533,0.5,3B-HHR-E.MS.MRG.3IMERG.20260820-S110000-E112959.0660.V07C.30min.tif
2026-08-20,11:00:00,11:29:59,2026-08-20T11:29:59+00:00,Singtam,27.234,88.501,0.5,3B-HHR-E.MS.MRG.3IMERG.20260820-S110000-E112959.0660.V07C.30min.tif
2026-08-20,11:30:00,11:59:59,2026-08-20T11:59:59+00:00,Rangpo,27.177,88.533,0.4,3B-HHR-E.MS.MRG.3IMERG.20260820-S113000-E115959.0690.V07C.30min.tif
2026-08-20,11:30:00,11:59:59,2026-08-20T11:59:59+00:00,Singtam,27.234,88.501,0.4,3B-HHR-E.MS.MRG.3IMERG.20260820-S113000-E115959.0690.V07C.30min.tif
2026-08-20,12:00:00,12:29:59,2026-08-20T12:29:59+00:00,Rangpo,27.177,88.533,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S120000-E122959.0720.V07C.30min.tif
2026-08-20,12:00:00,12:29:59,2026-08-20T12:29:59+00:00,Singtam,27.234,88.501,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S120000-E122959.0720.V07C.30min.tif
2026-08-20,12:30:00,12:59:59,2026-08-20T12:59:59+00:00,Rangpo,27.177,88.533,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S123000-E125959.0750.V07C.30min.tif
2026-08-20,12:30:00,12:59:59,2026-08-20T12:59:59+00:00,Singtam,27.234,88.501,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S123000-E125959.0750.V07C.30min.tif
2026-08-20,13:00:00,13:29:59,2026-08-20T13:29:59+00:00,Rangpo,27.177,88.533,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S130000-E132959.0780.V07C.30min.tif
2026-08-20,13:00:00,13:29:59,2026-08-20T13:29:59+00:00,Singtam,27.234,88.501,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S130000-E132959.0780.V07C.30min.tif
2026-08-20,13:30:00,13:59:59,2026-08-20T13:59:59+00:00,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S133000-E135959.0810.V07C.30min.tif
2026-08-20,13:30:00,13:59:59,2026-08-20T13:59:59+00:00,Singtam,27.234,88.501,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S133000-E135959.0810.V07C.30min.tif
2026-08-20,14:00:00,14:29:59,2026-08-20T14:29:59+00:00,Rangpo,27.177,88.533,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S140000-E142959.0840.V07C.30min.tif
2026-08-20,14:00:00,14:29:59,2026-08-20T14:29:59+00:00,Singtam,27.234,88.501,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S140000-E142959.0840.V07C.30min.tif
2026-08-20,14:30:00,14:59:59,2026-08-20T14:59:59+00:00,Rangpo,27.177,88.533,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S143000-E145959.0870.V07C.30min.tif
2026-08-20,14:30:00,14:59:59,2026-08-20T14:59:59+00:00,Singtam,27.234,88.501,0.2,3B-HHR-E.MS.MRG.3IMERG.20260820-S143000-E145959.0870.V07C.30min.tif
2026-08-20,15:00:00,15:29:59,2026-08-20T15:29:59+00:00,Rangpo,27.177,88.533,0.2,3B-HHR-E.MS.MRG.3IMERG.20260820-S150000-E152959.0900.V07C.30min.tif
2026-08-20,15:00:00,15:29:59,2026-08-20T15:29:59+00:00,Singtam,27.234,88.501,0.3,3B-HHR-E.MS.MRG.3IMERG.20260820-S150000-E152959.0900.V07C.30min.tif
2026-08-20,15:30:00,15:59:59,2026-08-20T15:59:59+00:00,Rangpo,27.177,88.533,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S153000-E155959.0930.V07C.30min.tif
2026-08-20,15:30:00,15:59:59,2026-08-20T15:59:59+00:00,Singtam,27.234,88.501,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S153000-E155959.0930.V07C.30min.tif
2026-08-20,16:00:00,16:29:59,2026-08-20T16:29:59+00:00,Rangpo,27.177,88.533,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S160000-E162959.0960.V07C.30min.tif
2026-08-20,16:00:00,16:29:59,2026-08-20T16:29:59+00:00,Singtam,27.234,88.501,0.1,3B-HHR-E.MS.MRG.3IMERG.20260820-S160000-E162959.0960.V07C.30min.tif
2026-08-20,16:30:00,16:59:59,2026-08-20T16:59:59+00:00,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S163000-E165959.0990.V07C.30min.tif
2026-08-20,16:30:00,16:59:59,2026-08-20T16:59:59+00:00,Singtam,27.234,88.501,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S163000-E165959.0990.V07C.30min.tif
2026-08-20,17:00:00,17:29:59,2026-08-20T17:29:59+00:00,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S170000-E172959.1020.V07C.30min.tif
2026-08-20,17:00:00,17:29:59,2026-08-20T17:29:59+00:00,Singtam,27.234,88.501,0.5,3B-HHR-E.MS.MRG.3IMERG.20260820-S170000-E172959.1020.V07C.30min.tif
2026-08-20,17:30:00,17:59:59,2026-08-20T17:59:59+00:00,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S173000-E175959.1050.V07C.30min.tif
2026-08-20,17:30:00,17:59:59,2026-08-20T17:59:59+00:00,Singtam,27.234,88.501,0.6,3B-HHR-E.MS.MRG.3IMERG.20260820-S173000-E175959.1050.V07C.30min.tif
2026-08-20,18:00:00,18:29:59,2026-08-20T18:29:59+00:00,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S180000-E182959.1080.V07C.30min.tif
2026-08-20,18:00:00,18:29:59,2026-08-20T18:29:59+00:00,Singtam,27.234,88.501,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S180000-E182959.1080.V07C.30min.tif
2026-08-20,18:30:00,18:59:59,2026-08-20T18:59:59+00:00,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S183000-E185959.1110.V07C.30min.tif
2026-08-20,18:30:00,18:59:59,2026-08-20T18:59:59+00:00,Singtam,27.234,88.501,0.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S183000-E185959.1110.V07C.30min.tif
2026-08-20,19:00:00,19:29:59,2026-08-20T19:29:59+00:00,Rangpo,27.177,88.533,0.5,3B-HHR-E.MS.MRG.3IMERG.20260820-S190000-E192959.1140.V07C.30min.tif
2026-08-20,19:00:00,19:29:59,2026-08-20T19:29:59+00:00,Singtam,27.234,88.501,1.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S190000-E192959.1140.V07C.30min.tif
2026-08-20,19:30:00,19:59:59,2026-08-20T19:59:59+00:00,Rangpo,27.177,88.533,0.5,3B-HHR-E.MS.MRG.3IMERG.20260820-S193000-E195959.1170.V07C.30min.tif
2026-08-20,19:30:00,19:59:59,2026-08-20T19:59:59+00:00,Singtam,27.234,88.501,1.0,3B-HHR-E.MS.MRG.3IMERG.20260820-S193000-E195959.1170.V07C.30min.tif
2026-08-20,20:00:00,20:29:59,2026-08-20T20:29:59+00:00,Rangpo,27.177,88.533,0.2,3B-HHR-E.MS.MRG.3IMERG.20260820-S200000-E202959.1200.V07C.30min.tif
