event_id,event_time,latitude,longitude,location_name,source,severity,description,road_impact,verified,geometry
SKM/SS/78A08/2015/175,UNKNOWN,27.153528,88.494389,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.494389 27.153528)
SKM/SS/78A08/2015/307,UNKNOWN,27.15425,88.500333,Melli-Phong Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.500333 27.154250)
SKM/SS/78A08/2015/310,UNKNOWN,27.154722,88.443056,Melli-Phong Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.443056 27.154722)
SKM/SS/78A08/2015/176,UNKNOWN,27.154889,88.493194,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.493194 27.154889)
SKM/ES/78A12/2015/162,UNKNOWN,27.156806,88.5225,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,HIGH,Rock Fall (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.522500 27.156806)
SKM/ES/78A2/2015/167,UNKNOWN,27.157056,88.512778,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.512778 27.157056)
SKM/ES/78A12/2015/163,UNKNOWN,27.157694,88.522194,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,HIGH,Rock Topple (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.522194 27.157694)
SKM/SS/78A08/2015/177,UNKNOWN,27.158111,88.491722,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.491722 27.158111)
SKM/ES/78A2/2015/168,UNKNOWN,27.158111,88.512472,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.512472 27.158111)
SKM/ES/78A12/2015/164,UNKNOWN,27.158361,88.521833,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.521833 27.158361)
SKM/SS/78A08/2015/303,UNKNOWN,27.158583,88.466306,Namthang-Kabrey Road,Geological Survey of India (GSI) NLSM,HIGH,Rock Fall (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.466306 27.158583)
SKM/ES/78A2/2015/169,UNKNOWN,27.158972,88.514611,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,HIGH,Rock Fall (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.514611 27.158972)
SKM/SS/78A08/2015/309,UNKNOWN,27.159194,88.444361,Melli-Phong Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.444361 27.159194)
SKM/SS/78A12/2015/170,UNKNOWN,27.160444,88.512472,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,HIGH,Rock Fall (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.512472 27.160444)
SKM/SS/78A12/2015/174,UNKNOWN,27.160722,88.505889,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.505889 27.160722)
SKM/SS/78A12/2015/171,UNKNOWN,27.161306,88.512944,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.512944 27.161306)
SKM/SS/78A12/2015/173,UNKNOWN,27.161917,88.509639,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.509639 27.161917)
SKM/SS/78A08/2015/181,UNKNOWN,27.162111,88.491444,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,HIGH,Rock Fall (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.491444 27.162111)
SKM/SS/78A12/2015/172,UNKNOWN,27.162194,88.510611,Namchi-Namthang Road,Geological Survey of India (GSI) NLSM,MEDIUM,Debris Slide (GSI Survey 2015.0),Direct / Connecting Route to NH-10,True,POINT(88.510611 27.162194)
